Date,Title,Author
5/12/2002,A Thousand Country Roads,Robert James Waller
5/12/2002,Everything is Illuminated ,Jonathan Safran Foer
5/19/2002,The Shelters of Stone,Jean M. Auel
5/19/2002,Running Scared,Elizabeth Lowell
5/19/2002,Gone for Good,Harlan Coben
5/19/2002,If Looks Could Kill,Kate White
5/19/2002,Fatal ,Michael Palmer
5/26/2002,The Wailing Wind,Tony Hillerman
5/26/2002,Sin Killer,Larry McMurtry
6/2/2002,Mortal Prey,John Sandofrd
6/2/2002,Thieves' Paradise,Eric Jerome Dickey
6/2/2002,Three Fates,Nora Roberts
6/9/2002,Courting Trouble,Lisa Scottoline
6/16/2002,In This Mountain,Jan Karon
6/16/2002,Don’t Look Back,Amanda Quick
6/23/2002,Fire Ice,Clive Cussler
6/23/2002,The Emporer of Ocean Park,Stephen L. Carter
6/23/2002,Jolie Blon's Bounce,James Lee Burke
6/23/2002,Confessions of a Sociolathic Social Climber,Adele Lang
6/30/2002,The Beach House,James Patterson
6/30/2002,The Dive from Clausen's Pier,Ann Packer
6/30/2002,Deadly Embrace,Jackie Collins
7/7/2002,Hard Eight,Janet Evanovich
7/7/2002,Mount Vernon Love Story,Mary Higgins Clark
7/7/2002,Dragons of a Vanished Moon,Margaret Weis & Tracy Hickman
7/14/2002,Sunset in St. Tropez,Danielle Steel
7/14/2002,The Mulberry Tree,Jude Deveraux
7/14/2002,The Lovely Bones,Alice Sebold
7/14/2002,Chopping Spree,Diane Mott Davidson
7/21/2002,The Remnant,Tim LaHaye & Jerry B. Jenkins
7/28/2002,Grave Secrets,Kathy Reichs
8/4/2002,An Accidental Woman,Barbara Delinsky
8/11/2002,Eleventh Hour,Catherine Coulter
8/11/2002,The Shelters of Stone,Jean M. Auel
8/11/2002,Lawrence Sanders: McNally's Alibi,Vincent Lardo
8/18/2002,A Love of My Own,E. Lynn Harris
8/18/2002,Stone Kiss,Faye Kellerman
8/18/2002,Hot Ice,Nora Roberts
8/18/2002,Her Father's House,Belva Plain
8/18/2002,Unfit to Practice ,Perri O'Shaughnessy
8/25/2002,Red Rabbit,Tom Clancy
8/25/2002,Standing in the Rainbow,Fannie Flagg
8/25/2002,Partner in Crime,J. A. Jance
8/25/2002,You Are Not a Stranger Here,Adam Haslett
8/25/2002,Charleston,John Jakes
9/1/2002,,
9/8/2002,Shadow Puppets,Orson Scott Card
9/8/2002,The Apprentice,Tess Gerritsen
9/15/2002,Dark Horse,Tami Hoag
9/15/2002,The Voyage of the Jerle Shannara: Morgawr,Terry Brooks
9/15/2002,The Grave Maurice,Martha Grimes
9/15/2002,Blood of Victory,Alan Furst
9/22/2002,Celebrate Through Heartsongs,Mattie J.T. Stepanek 
9/22/2002,Mission Compromised,Oliver North with Joe Musser
9/29/2002,The Crimson Petal and The White,Michel Faber
10/6/2002,Nights in Rodanthe,Nicholas Sparks
10/6/2002,Blessings ,Anna Quindlen
10/6/2002,Killjoy,Julie Garwood 
10/6/2002,Shrink Rap,Robert B. Parker
10/6/2002,Lullaby,Chuck Palahniuk
10/6/2002,Dune: The Butlerian Jihad,Brian Herbert & Kevin J. Anderson
10/13/2002,From a Buick 8,Stephen King
10/13/2002,The Last Girls,Lee Smith
10/20/2002,The Murder Book,Jonathan Kellerman
10/20/2002,The New Jedi Order: Destiny's Way,Walter Jon Williams
10/20/2002,War of Honor,David Weber
10/20/2002,No One to Trust,Iris Johansen
10/20/2002,Tricky Business,Dave Berry
10/20/2002,Kentucky Sunrise,Fern Michaels
10/27/2002,The Crush,Sandra Brown
10/27/2002,I Don’t Know How She Does It,Allison Pearson
10/27/2002,Decemebr Sixth,Martin Cruz Smith
10/27/2002,Blue Shoe,Anne Lamott
11/3/2002,Q is for Quarry,Sue Grafton
11/3/2002,Chasing the Dime,Michael Connelly
11/3/2002,The Janson Directive,Robert Ludlum
11/3/2002,Blood Orchid,Stuart Woods
11/3/2002,The Thousand Orcs,R.A. Salvatore
